Date,Open,High,Low,Close,Volume,Adj Close
2026-02-17,68843.09375,69201.8671875,66615.28125,67494.21875,34866936040,67494.21875
2026-02-18,67488.0234375,68434.4296875,65845.8984375,66425.3203125,33094301643,66425.3203125
2026-02-19,66425.625,67277.125,65637.4296875,66957.5234375,31492987019,66957.5234375
2026-02-20,66958.578125,68269.03125,66452.484375,68005.421875,47507867304,68005.421875
2026-02-21,68000.25,68657.703125,67533.0703125,68003.765625,18357635642,68003.765625
2026-02-22,67998.828125,68235.2265625,67185.6015625,67659.390625,17893536012,67659.390625
2026-02-23,67668.4296875,67668.4296875,63924.4375,64616.73828125,50953457309,64616.73828125
2026-02-24,64616.015625,64992.15625,62553.1875,64080.04296875,40849331086,64080.04296875
2026-02-25,64077.76953125,69953.53125,63942.484375,67960.125,53629234355,67960.125
2026-02-26,67954.8671875,68843.3515625,66523.734375,67453.7734375,42988597523,67453.7734375
2026-02-27,67456.515625,68220.40625,64946.03515625,65881.796875,40283655942,65881.796875
2026-02-28,65878.9296875,67714.5234375,63062.21875,66995.859375,42041497112,66995.859375
2026-03-01,67005.8828125,68162.8203125,65076.73046875,65738.1015625,40733141929,65738.1015625
2026-03-02,65734.078125,70044.0,65303.13671875,68775.8515625,56698092052,68775.8515625
2026-03-03,68785.078125,69232.890625,66237.6171875,68293.6484375,47947999049,68293.6484375
2026-03-04,68290.5625,74051.8046875,67437.40625,72710.578125,75073101274,72710.578125
2026-03-05,72712.65625,73555.7890625,70654.8828125,70841.125,51172841727,70841.125
2026-03-06,70842.15625,71378.5703125,67757.8203125,68136.4921875,43776962871,68136.4921875
2026-03-07,68136.6875,68515.1640625,66969.2578125,67272.59375,23258701211,67272.59375
2026-03-08,67272.5,68177.7890625,65639.1953125,65969.78125,33195080116,65969.78125
2026-03-09,65969.5859375,69474.9453125,65858.0078125,68402.3828125,49499875378,68402.3828125
2026-03-10,68402.71875,71770.8984375,68402.71875,69926.921875,54003996096,69926.921875
2026-03-11,69931.25,71337.6640625,68998.8671875,70204.8828125,45236859848,70204.8828125
2026-03-12,70209.765625,70775.828125,69230.15625,70493.4609375,40871848129,70493.4609375
2026-03-13,70497.046875,73927.328125,70410.7265625,70968.265625,61167226505,70968.265625
2026-03-14,70965.3828125,71291.203125,70339.5859375,71214.625,22283546496,71214.625
2026-03-15,71213.6796875,73173.0078125,70882.421875,72789.9140625,27991268669,72789.9140625
2026-03-16,72798.171875,74901.859375,72300.6328125,74861.0859375,55572438409,74861.0859375
2026-03-17,74855.296875,75988.3984375,73444.2265625,73922.4765625,49500721728,73922.4765625
2026-03-18,73936.8515625,74658.9765625,70503.859375,71245.578125,46229011155,71245.578125
2026-03-19,71250.3515625,71598.84375,68805.5234375,69912.7890625,44631433398,69912.7890625
2026-03-20,69911.53125,71346.796875,69398.8828125,70522.5859375,38299078407,70522.5859375
2026-03-21,70522.46875,71051.2734375,68602.9140625,68711.5234375,21109354718,68711.5234375
2026-03-22,68737.4453125,69561.7734375,67372.875,67845.2109375,30108051508,67845.2109375
2026-03-23,67843.0,71782.2578125,67458.84375,70914.859375,51508669357,70914.859375
2026-03-24,70912.671875,71371.3046875,68920.6953125,70517.859375,40181522399,70517.859375
2026-03-25,70520.046875,71985.7421875,70383.59375,71309.8828125,35409791747,71309.8828125
2026-03-26,71310.1171875,71410.390625,68118.3515625,68791.625,38962070215,68791.625
2026-03-27,68790.8359375,69117.53125,65532.5703125,66338.375,46483453594,66338.375
2026-03-28,66338.5,67232.859375,65906.7421875,66319.6953125,20924883455,66319.6953125
2026-03-29,66319.6953125,67052.953125,64971.70703125,65954.921875,21645889785,65954.921875
2026-03-30,65958.3515625,68087.2890625,65759.8046875,66691.4453125,37694994180,66691.4453125
2026-03-31,66694.5859375,68495.2734375,65950.4375,68233.3125,42997691338,68233.3125
2026-04-01,68232.890625,69230.359375,67555.359375,68078.5546875,36465393617,68078.5546875
2026-04-02,68077.8984375,68633.1484375,65725.2578125,66888.5703125,39323384518,66888.5703125
2026-04-03,66889.015625,67296.234375,66281.5390625,66931.1015625,22815543346,66931.1015625
2026-04-04,66938.6484375,67515.015625,66769.640625,67290.515625,15878814963,67290.515625
2026-04-05,67291.1953125,69087.65625,66610.6328125,68981.8984375,22972648674,68981.8984375
2026-04-06,68982.9140625,70305.421875,68347.078125,68859.828125,39542143229,68859.828125
2026-04-07,68859.375,72732.4296875,67740.5078125,71940.703125,44650511480,71940.703125
2026-04-08,71950.1484375,72825.1875,70707.46875,71123.359375,42444631703,71123.359375
2026-04-09,71120.5703125,73107.265625,70486.359375,71767.828125,38799581473,71767.828125
2026-04-10,71774.3671875,73440.1171875,71434.828125,72979.046875,37722595732,72979.046875
2026-04-11,72976.125,73784.234375,72556.3359375,73054.2734375,23287073965,73054.2734375
2026-04-12,73056.046875,73154.03125,70540.5703125,70753.40625,29882740487,70753.40625
2026-04-13,70757.6171875,74896.3125,70588.5234375,74484.640625,52278211554,74484.640625
2026-04-14,74478.3984375,76061.7578125,73877.203125,74181.609375,53540826530,74181.609375
2026-04-15,74182.0234375,75409.2734375,73549.203125,74805.078125,38090174312,74805.078125
2026-04-16,74810.875,75506.5703125,73346.265625,75152.1328125,41312783855,75152.1328125
2026-04-17,75164.0390625,78320.6796875,74558.6015625,77126.875,54137194839,77126.875
2026-04-18,77136.046875,77416.703125,75504.9453125,75726.2109375,26014416776,75726.2109375
2026-04-19,75723.6953125,76243.09375,73802.3828125,73856.3515625,30931515195,73856.3515625
2026-04-20,73854.25,76575.359375,73775.5703125,75872.5234375,39674447916,75872.5234375
2026-04-21,75872.828125,76881.4765625,74852.671875,76352.7734375,36453522626,76352.7734375
2026-04-22,76354.21875,79468.0,76159.578125,78203.1015625,48336654537,78203.1015625
2026-04-23,78203.875,78676.9375,77014.453125,78268.953125,40354900916,78268.953125
2026-04-24,78263.8203125,78554.09375,77318.4453125,77455.3125,32784213526,77455.3125
2026-04-25,77457.2109375,77882.640625,77184.6640625,77612.015625,16702933134,77612.015625
2026-04-26,77613.1171875,78923.5625,77334.890625,78657.5390625,21482934750,78657.5390625
2026-04-27,78661.015625,79488.171875,76481.34375,77366.625,38135631927,77366.625
2026-04-28,77368.1171875,77483.8671875,75673.6015625,76350.671875,32056900880,76350.671875
2026-04-29,76350.6875,77884.96875,74958.5703125,75776.1328125,41460907886,75776.1328125
2026-04-30,75778.6328125,76611.484375,75318.984375,76304.3203125,29497862305,76304.3203125
2026-05-01,76305.0546875,78894.9765625,76294.6953125,78179.0,39164328894,78179.0
2026-05-02,78177.75,79119.7890625,78031.9609375,78657.25,16761531851,78657.25
2026-05-03,78656.7265625,79402.359375,78073.078125,78538.2265625,20544392639,78538.2265625
2026-05-04,78540.2890625,80742.359375,78217.9609375,79827.90625,54325085296,79827.90625
2026-05-05,79823.53125,81751.453125,79787.578125,80927.0546875,39700107376,80927.0546875
2026-05-06,80930.734375,82792.2109375,80751.0234375,81427.53125,41751540000,81427.53125
2026-05-07,81428.8515625,81684.953125,79522.65625,80009.9921875,36931193154,80009.9921875
2026-05-08,80009.625,80447.265625,79205.515625,80186.765625,33789351540,80186.765625
2026-05-09,80187.7421875,81030.0625,80119.9296875,80664.3671875,18102086996,80664.3671875
2026-05-10,80665.609375,82430.171875,80274.1328125,82138.9296875,26965971077,82138.9296875
2026-05-11,82139.046875,82326.234375,80451.421875,81728.296875,32409774919,81728.296875
2026-05-12,81725.3515625,81753.03125,79832.1015625,80477.4921875,32186688600,80477.4921875
2026-05-13,80476.7890625,81276.671875,78725.5078125,79277.1171875,34075428359,79277.1171875
2026-05-14,79283.34375,79894.40625,79001.5078125,79331.6796875,36559482880,79331.6796875
